mesure,indicateur,id_indicateur,code_region,libelle_region,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,cible,pourcentage_cible,date_cible,unite
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,84,Auvergne-Rhône-Alpes,100396.0,2022-01-31,0.0,2019-12-31,100396.0,,153366.0,65.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,84,Auvergne-Rhône-Alpes,7022.0,2021-12-31,4325.0,2017-12-31,2697.0,62.0,6028.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,32,Hauts-de-France,100719.0,2022-01-31,0.0,2019-12-31,100719.0,,121959.0,83.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,32,Hauts-de-France,6882.0,2021-12-31,4679.0,2017-12-31,2203.0,47.0,6556.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,93,Provence-Alpes-Côte d'Azur,30890.0,2022-01-31,0.0,2019-12-31,30890.0,,35427.0,87.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,93,Provence-Alpes-Côte d'Azur,3230.0,2021-12-31,2048.0,2017-12-31,1182.0,58.0,2882.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,44,Grand Est,80312.0,2022-01-31,0.0,2019-12-31,80312.0,,128351.0,63.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,44,Grand Est,4455.0,2021-12-31,3056.0,2017-12-31,1399.0,46.0,4345.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,76,Occitanie,80271.0,2022-01-31,0.0,2019-12-31,80271.0,,69946.0,100.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,76,Occitanie,4792.0,2021-12-31,3384.0,2017-12-31,1408.0,42.0,4455.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,28,Normandie,52255.0,2022-01-31,0.0,2019-12-31,52255.0,,67377.0,78.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,28,Normandie,2901.0,2021-12-31,1918.0,2017-12-31,983.0,51.0,2739.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,75,Nouvelle-Aquitaine,91456.0,2022-01-31,0.0,2019-12-31,91456.0,,87321.0,100.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,75,Nouvelle-Aquitaine,4772.0,2021-12-31,3093.0,2017-12-31,1679.0,54.0,4158.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,24,Centre-Val de Loire,36477.0,2022-01-31,0.0,2019-12-31,36477.0,,53643.0,68.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,24,Centre-Val de Loire,2135.0,2021-12-31,1538.0,2017-12-31,597.0,39.0,2200.0,90.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,27,Bourgogne-Franche-Comté,51383.0,2022-01-31,0.0,2019-12-31,51383.0,,75451.0,68.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,27,Bourgogne-Franche-Comté,1874.0,2021-12-31,1439.0,2017-12-31,435.0,30.0,2134.0,63.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,53,Bretagne,58675.0,2022-01-31,0.0,2019-12-31,58675.0,,60958.0,96.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,53,Bretagne,2191.0,2021-12-31,1415.0,2017-12-31,776.0,55.0,2200.0,99.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,94,Corse,1486.0,2022-01-31,0.0,2019-12-31,1486.0,,1860.0,80.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,94,Corse,139.0,2021-12-31,95.0,2017-12-31,44.0,46.0,132.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,52,Pays de la Loire,61547.0,2022-01-31,0.0,2019-12-31,61547.0,,52352.0,100.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,52,Pays de la Loire,3302.0,2021-12-31,1868.0,2017-12-31,1434.0,77.0,3201.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,11,Île-de-France,84637.0,2022-01-31,0.0,2019-12-31,84637.0,,133362.0,63.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,11,Île-de-France,15845.0,2021-12-31,12124.0,2017-12-31,3721.0,31.0,14366.0,100.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,01,Guadeloupe,3634.0,2022-01-31,0.0,2019-12-31,3634.0,,4536.0,80.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,01,Guadeloupe,95.0,2021-12-31,136.0,2017-12-31,-41.0,-30.0,165.0,0.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,02,Martinique,1948.0,2022-01-31,0.0,2019-12-31,1948.0,,2379.0,82.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,02,Martinique,53.0,2021-12-31,29.0,2017-12-31,24.0,83.0,77.0,50.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,03,Guyane,8.0,2022-01-31,0.0,2019-12-31,8.0,,7.0,100.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,03,Guyane,92.0,2021-12-31,68.0,2017-12-31,24.0,35.0,198.0,18.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,04,La Réunion,5031.0,2022-01-31,0.0,2019-12-31,5031.0,,6702.0,75.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,04,La Réunion,953.0,2021-12-31,528.0,2017-12-31,425.0,80.0,1034.0,84.0,2022-12-31,personnes dans l'année*
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,06,Mayotte,4.0,2022-01-31,0.0,2019-12-31,4.0,,3.0,100.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,06,Mayotte,0.0,2020-12-31,0.0,2017-12-31,0.0,,,,,personnes dans l'année*
