mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,77,Seine-et-Marne,100.0,2021-10-31,97.0,2019-10-31,3.0,3.0,100.0,0.0,2020-10-31,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,77,Seine-et-Marne,40.0,2021-10-31,26.0,2019-11-30,14.0,54.0,30.0,33.0,2020-11-30,66.0,35.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,77,Seine-et-Marne,69.0,2021-09-30,58.0,2019-09-30,11.0,19.0,61.0,13.0,2020-09-30,100.0,26.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,77,Seine-et-Marne,35.0,2021-09-30,20.0,2018-03-31,15.0,75.0,,,,32.0,100.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,77,Seine-et-Marne,189.0,2021-09-30,160.0,2017-09-30,29.0,18.0,187.0,1.0,2020-09-30,205.0,64.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,77,Seine-et-Marne,5.0,2021-09-30,2.0,2017-09-30,3.0,150.0,4.0,25.0,2020-09-30,6.0,75.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,77,Seine-et-Marne,46.2,2020-10-31,37.6,2017-10-31,9.0,23.0,39.7,16.0,2019-10-31,47.0,91.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,77,Seine-et-Marne,1441.0,2021-12-31,1047.0,2017-12-31,394.0,38.0,1222.0,18.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,77,Seine-et-Marne,135.0,2021-12-31,0.0,2020-10-31,135.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,77,Seine-et-Marne,1809.0,2022-02-28,0.0,2020-09-30,1809.0,,324.0,458.0,2021-04-30,2053.0,88.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,77,Seine-et-Marne,625.0,2022-02-28,0.0,2020-09-30,625.0,,257.0,143.0,2021-04-30,453.0,100.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,77,Seine-et-Marne,11357.0,2021-12-31,6309.0,2017-12-31,5048.0,80.0,8482.0,34.0,2020-12-31,8354.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,77,Seine-et-Marne,42126.0,2021-07-31,47228.0,2019-07-31,-5102.0,-11.0,26584.0,58.0,2021-02-28,,,,Recrutements depuis le mois d'août précédent
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,77,Seine-et-Marne,2348.0,2021-10-31,1787.0,2017-01-31,561.0,31.0,1894.0,24.0,2021-02-28,3156.0,41.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,77,Seine-et-Marne,402181.0,2021-12-31,0.0,2017-12-31,402181.0,,,,,560557.0,72.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,77,Seine-et-Marne,984.0,2021-12-31,709.0,2017-12-31,275.0,39.0,971.0,1.0,2020-09-30,1053.0,80.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,77,Seine-et-Marne,21701.0,2022-01-31,0.0,2018-01-31,21701.0,,12035.0,80.0,2020-09-30,31872.0,68.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,77,Seine-et-Marne,1233.0,2022-01-31,672.0,2019-09-30,561.0,83.0,,,,2125.0,39.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,77,Seine-et-Marne,860000.0,2021-12-31,190000.0,2017-06-30,670000.0,353.0,860000.0,0.0,2020-06-30,1390000.0,56.0,2022-12-31,habitants
