mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,66,Pyrénées-Orientales,100.0,2022-09-30,96.0,2019-10-31,4.0,4.0,100.0,0.0,2020-10-31,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,66,Pyrénées-Orientales,37.0,2022-09-30,1.0,2019-11-30,36.0,3600.0,,,,61.0,60.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,66,Pyrénées-Orientales,75.0,2022-09-30,64.0,2019-09-30,11.0,17.0,67.0,12.0,2020-09-30,100.0,31.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,66,Pyrénées-Orientales,20.0,2022-09-30,22.0,2018-03-31,-2.0,-9.0,,,,25.0,0.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,66,Pyrénées-Orientales,69.0,2022-09-30,58.0,2017-09-30,11.0,19.0,65.0,6.0,2020-09-30,69.0,100.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,66,Pyrénées-Orientales,4.0,2022-09-30,1.0,2017-09-30,3.0,300.0,3.0,33.0,2020-09-30,3.0,100.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,66,Pyrénées-Orientales,39.9,2021-10-31,33.0,2017-10-31,7.0,21.0,40.4,-1.0,2019-10-31,47.0,49.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,66,Pyrénées-Orientales,967.0,2021-12-31,930.0,2017-12-31,37.0,4.0,770.0,26.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,66,Pyrénées-Orientales,19.0,2022-12-31,0.0,2020-10-31,19.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,66,Pyrénées-Orientales,1010.0,2022-11-30,0.0,2020-09-30,1010.0,,313.0,223.0,2021-04-30,867.0,100.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,66,Pyrénées-Orientales,314.0,2022-11-30,0.0,2020-09-30,314.0,,87.0,261.0,2021-04-30,177.0,100.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,66,Pyrénées-Orientales,6496.0,2022-10-31,1880.0,2017-12-31,4616.0,246.0,3965.0,64.0,2020-12-31,3928.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,66,Pyrénées-Orientales,17195.0,2022-07-31,11885.0,2019-07-31,5310.0,45.0,7544.0,128.0,2021-02-28,,,,Recrutements depuis le mois d'août précédent
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,66,Pyrénées-Orientales,888.0,2022-09-30,860.0,2017-01-31,28.0,3.0,881.0,1.0,2021-02-28,1480.0,5.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,66,Pyrénées-Orientales,196502.0,2022-12-31,0.0,2017-12-31,196502.0,,,,,234546.0,84.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,66,Pyrénées-Orientales,619.0,2022-12-31,389.0,2017-12-31,230.0,59.0,471.0,31.0,2020-09-30,518.0,100.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,66,Pyrénées-Orientales,14857.0,2022-12-31,0.0,2018-01-31,14857.0,,7390.0,101.0,2020-09-30,10686.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,66,Pyrénées-Orientales,543.0,2022-12-31,206.0,2019-09-30,337.0,164.0,,,,712.0,67.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,66,Pyrénées-Orientales,470000.0,2022-12-31,470000.0,2017-06-30,0.0,0.0,470000.0,0.0,2020-06-30,470000.0,,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,66,Pyrénées-Orientales,39.0,2021-12-31,25.7,2017-12-31,13.0,52.0,33.5,16.0,2019-12-31,15.0,100.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,66,Pyrénées-Orientales,1305.0,2021-12-31,675.0,2017-12-31,630.0,93.0,,,,1417.0,85.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,66,Pyrénées-Orientales,98.94,2022-12-31,0.0,2017-12-31,99.0,,,,,99.0,100.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,66,Pyrénées-Orientales,630680.0,2022-10-31,519708.0,2017-12-31,110972.0,21.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,66,Pyrénées-Orientales,69.0,2021-12-31,78.0,2017-12-31,-9.0,-12.0,,,,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,66,Pyrénées-Orientales,281.0,2021-12-31,325.0,2017-12-31,-44.0,-14.0,,,,,,,atteintes aux biens dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,66,Pyrénées-Orientales,903.0,2022-12-31,0.0,2020-05-31,903.0,,182.0,396.0,2021-03-31,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,66,Pyrénées-Orientales,26.0,2021-12-31,3.0,2017-12-31,23.0,767.0,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,66,Pyrénées-Orientales,18.0,2022-12-31,,,,,,,,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,66,Pyrénées-Orientales,26.0,2022-09-30,38.0,2017-12-31,-12.0,-32.0,30.0,-13.0,2019-12-31,,,,morts dans l'année
Lutter contre la récidive par une meilleure insertion professionnelle des personnes placées sous main de justice,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,66,Pyrénées-Orientales,7.0,2022-09-30,6.0,2021-06-30,1.0,17.0,,,,,,,% de détenus
Lutter contre la récidive par une meilleure insertion professionnelle des personnes placées sous main de justice,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,66,Pyrénées-Orientales,302.0,2022-12-31,217.0,2021-03-31,85.0,39.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,66,Pyrénées-Orientales,796.0,2022-10-31,0.0,2020-09-30,796.0,,77.0,934.0,2021-03-31,1886.0,42.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,66,Pyrénées-Orientales,46.19,2022-06-30,0.0,2018-12-31,46.0,,18.95,144.0,2020-09-30,40.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,66,Pyrénées-Orientales,67.27,2022-06-30,0.0,2019-03-31,67.0,,67.61,-1.0,2020-09-30,45.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,66,Pyrénées-Orientales,30.15,2022-06-30,0.0,2019-12-31,30.0,,25.51,18.0,2020-09-30,20.0,100.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,66,Pyrénées-Orientales,14.0,2022-12-31,7.0,2017-06-30,7.0,100.0,8.0,75.0,2020-06-30,11.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,66,Pyrénées-Orientales,3.0,2021-12-31,1.0,2017-12-31,2.0,200.0,,,,5.0,50.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,66,Pyrénées-Orientales,1720.0,2021-12-31,1400.0,2018-12-31,320.0,23.0,1043.0,65.0,2020-09-30,1608.0,100.0,2022-12-31,pères / conjoints dans l'année
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,66,Pyrénées-Orientales,4.55,2022-09-30,2.9,2021-03-31,2.0,57.0,,,,3.0,0.0,2022-12-31,mois de traitement
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,66,Pyrénées-Orientales,7643.0,2022-10-31,0.0,2019-12-31,7643.0,,1226.0,523.0,2021-03-31,3165.0,100.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,66,Pyrénées-Orientales,165.0,2022-11-30,178.0,2017-12-31,-13.0,-7.0,227.0,-27.0,2019-12-31,262.0,0.0,2022-12-31,personnes dans l'année*
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats (national et local),tx-transparence-resultats,66,Pyrénées-Orientales,80.0,2022-12-31,6.0,2017-12-31,74.0,1233.0,,,,100.0,79.0,2022-12-31,% de réseaux
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,66,Pyrénées-Orientales,72.0,2022-09-30,17.0,2017-12-31,55.0,324.0,39.0,85.0,2020-09-30,,,,% de déploiement
Déployer une offre France services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,66,Pyrénées-Orientales,26.0,2022-12-31,4.0,2020-01-31,22.0,550.0,4.0,550.0,2020-09-30,23.0,100.0,2022-12-31,labellisations
Déployer le pass Culture,Nombre d’utilisateurs du pass Culture de 18 ans,nb-utilisateurs-pass-culture,66,Pyrénées-Orientales,8885.0,2022-12-31,0.0,2019-01-31,8885.0,,1.0,888400.0,2020-10-31,9379.0,95.0,2022-12-31,utilisateurs
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,66,Pyrénées-Orientales,147.0,2022-12-31,0.0,2020-09-30,147.0,,,,,495.0,30.0,2022-12-31,bénéficiaires
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,66,Pyrénées-Orientales,287.0,2022-06-30,0.0,2020-09-30,287.0,,,,,,,,logements rénovés
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,66,Pyrénées-Orientales,864.0,2022-09-30,0.0,2019-12-31,864.0,,564.0,53.0,2021-03-31,,,,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,66,Pyrénées-Orientales,864.0,2022-09-30,0.0,2019-12-31,864.0,,564.0,53.0,2021-03-31,,,,logements rénovés
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,66,Pyrénées-Orientales,1623.0,2022-12-31,0.0,2019-03-31,1623.0,,,,,590.0,100.0,2022-12-31,enfants
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d’attestations « savoir rouler à vélo » délivrées,nb-attestations-savoir-rouler-velo,66,Pyrénées-Orientales,2320.0,2022-12-31,0.0,2019-03-31,2320.0,,413.0,462.0,2021-06-30,1334.0,100.0,2022-12-31,attestations
Simplifier l’accès à l’aide juridictionnelle,Nombre de demandes d'aide juridictionnelle formulées par voie dématérialisée,nb-aide-juridictionnelle-dematerialisee,66,Pyrénées-Orientales,0.0,2021-03-31,0.0,2021-01-31,0.0,,,,,15.0,0.0,2022-12-31,% des demandes *
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,66,Pyrénées-Orientales,79.0,2022-12-31,0.0,2019-03-31,79.0,,,,,90.0,88.0,2022-12-31,%
