mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,05,Hautes-Alpes,100.0,2021-10-31,89.0,2019-10-31,11.0,12.0,100.0,0.0,2020-10-31,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,05,Hautes-Alpes,67.0,2021-10-31,11.0,2019-11-30,56.0,509.0,3.0,2133.0,2020-11-30,81.0,80.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,05,Hautes-Alpes,87.0,2021-09-30,87.0,2019-09-30,0.0,0.0,94.0,-7.0,2020-09-30,100.0,0.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,05,Hautes-Alpes,26.0,2021-09-30,22.0,2018-03-31,4.0,18.0,,,,32.0,40.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,05,Hautes-Alpes,17.0,2021-09-30,12.0,2017-09-30,5.0,42.0,15.0,13.0,2020-09-30,18.0,83.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,05,Hautes-Alpes,1.0,2021-09-30,1.0,2017-09-30,0.0,0.0,1.0,0.0,2020-09-30,2.0,0.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,05,Hautes-Alpes,45.8,2020-10-31,35.8,2017-10-31,10.0,28.0,38.8,18.0,2019-10-31,47.0,89.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,05,Hautes-Alpes,135.0,2021-12-31,159.0,2017-12-31,-24.0,-15.0,124.0,9.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,05,Hautes-Alpes,14.0,2021-11-30,0.0,2020-10-31,14.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,05,Hautes-Alpes,266.0,2021-12-31,0.0,2020-09-30,266.0,,89.0,199.0,2021-04-30,296.0,90.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,05,Hautes-Alpes,145.0,2021-12-31,0.0,2020-09-30,145.0,,45.0,222.0,2021-04-30,81.0,100.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,05,Hautes-Alpes,986.0,2021-09-30,580.0,2017-12-31,406.0,70.0,855.0,15.0,2020-12-31,854.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,05,Hautes-Alpes,3882.0,2021-07-31,4878.0,2019-07-31,-996.0,-20.0,4637.0,-16.0,2020-07-31,,,,Recrutements de jeunes
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,05,Hautes-Alpes,471.0,2021-09-30,407.0,2017-01-31,64.0,16.0,369.0,28.0,2021-02-28,791.0,17.0,2022-12-31,bénéficiaires *
