mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de CP et CE1 en éducation prioritaire dédoublées,tx-classes-cp-ce1-rep,06,Alpes-Maritimes,100.0,2022-09-30,98.0,2019-10-31,2.0,2.0,100.0,0.0,2020-10-31,100.0,100.0,2021-10-31,% des classes
"Dédoubler les classes en éducation prioritaire (grande section, CP, CE1) ",Part des classes de grande section en éducation prioritaire dédoublées,tx-gs-rep,06,Alpes-Maritimes,78.0,2022-09-30,0.0,2019-11-30,78.0,,,,,84.0,93.0,2022-11-30,% des classes
"Limiter les classes à 24 en grande section, CP, CE1","Part des classes de GS, CP ou CE1 ayant un effectif inférieur ou égal à 24 élèves",tx-classes-cp-ce1,06,Alpes-Maritimes,65.0,2022-09-30,52.0,2019-09-30,13.0,25.0,57.0,14.0,2020-09-30,100.0,27.0,2022-09-30,% des classes
Devoirs faits au collège,Part de collégiens bénéficiant du dispositif (en %),taux-collegiens-beneficiaires,06,Alpes-Maritimes,33.0,2022-09-30,19.0,2018-03-31,14.0,74.0,,,,24.0,100.0,2022-12-31,% de collégiens
Offrir une scolarisation inclusive à tous les enfants handicapés,"Nombre d’unités locales d’inclusion scolaires (ULIS) pour les élèves en situation de handicap à l’école maternelle, à l’école élémentaire, au collège et au lycée",nombre-creation-ulis,06,Alpes-Maritimes,162.0,2022-09-30,140.0,2017-09-30,22.0,16.0,157.0,3.0,2020-09-30,166.0,85.0,2022-09-30,unités
Offrir une scolarisation inclusive à tous les enfants handicapés,Nombre de classes adaptées à la scolarisation des enfants autistes (UEMA/UEEA) à l’école maternelle et à l’école élémentaire,nombre-creation-ueea,06,Alpes-Maritimes,5.0,2022-09-30,1.0,2017-09-30,4.0,400.0,3.0,67.0,2020-09-30,5.0,100.0,2022-09-30,classes
Déployer Parcoursup ,Taux de réussite aux examens de licence 1,tx-reussite-examens,06,Alpes-Maritimes,42.9,2021-10-31,34.3,2017-10-31,9.0,25.0,43.7,-2.0,2019-10-31,47.0,68.0,2022-10-31,% de réussite
Promouvoir l'engagement chez les jeunes,Nombre de volontaires ayant réalisé au moins un jour de mission de service civique dans l'année,nb-jeunes-engages,06,Alpes-Maritimes,1534.0,2021-12-31,1361.0,2017-12-31,173.0,13.0,1321.0,16.0,2020-12-31,,,,jeunes
Aide de France Relance aux entreprises,Nombre d’entreprises industrielles (dont PME) bénéficiaires des aides à l'investissement de France Relance,nb-entreprises-industrielles-agricoles,06,Alpes-Maritimes,77.0,2022-12-31,0.0,2020-10-31,77.0,,,,,,,,entreprises industrielles
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant bénéficié d'un chèque numérique de 500€,nb-entreprises-cheaque-numerique,06,Alpes-Maritimes,2946.0,2022-11-30,0.0,2020-09-30,2946.0,,670.0,340.0,2021-04-30,3203.0,92.0,2022-12-31,entreprises
Numérisation des petites et moyennes entreprises,Nombre d'entreprises ayant disposé d'un diagnostic numérique et d'un plan d'action individualisé,nb-diagnostics-individualises,06,Alpes-Maritimes,835.0,2022-11-30,0.0,2020-09-30,835.0,,240.0,248.0,2021-04-30,801.0,100.0,2022-12-31,entreprises
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,06,Alpes-Maritimes,13805.0,2022-10-31,4246.0,2017-12-31,9559.0,225.0,8132.0,70.0,2020-12-31,8081.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,06,Alpes-Maritimes,57677.0,2022-07-31,45947.0,2019-07-31,11730.0,26.0,23911.0,141.0,2021-02-28,,,,Recrutements depuis le mois d'août précédent
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,06,Alpes-Maritimes,1552.0,2022-09-30,1076.0,2017-01-31,476.0,44.0,1307.0,19.0,2021-02-28,2278.0,40.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,06,Alpes-Maritimes,409159.0,2022-12-31,0.0,2017-12-31,409159.0,,,,,557046.0,73.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,06,Alpes-Maritimes,376.0,2022-12-31,265.0,2017-12-31,111.0,42.0,323.0,16.0,2020-09-30,348.0,100.0,2022-03-31,kilomètres
Instaurer des zones à faibles émissions,Nombre d'habitants vivant à l'intérieur d'une zone à faibles émissions,nb-habitants-zfe,06,Alpes-Maritimes,44100.0,2022-12-31,0.0,2017-12-31,44100.0,,,,,461574.0,10.0,2022-12-31,habitants
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,06,Alpes-Maritimes,28834.0,2022-12-31,0.0,2018-01-31,28834.0,,10956.0,163.0,2020-09-30,24238.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,06,Alpes-Maritimes,1856.0,2022-12-31,616.0,2019-09-30,1240.0,201.0,,,,1616.0,100.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,06,Alpes-Maritimes,1080000.0,2022-12-31,590000.0,2017-06-30,490000.0,83.0,1070000.0,1.0,2020-06-30,1080000.0,100.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,06,Alpes-Maritimes,23.4,2021-12-31,12.3,2017-12-31,11.0,90.0,21.4,9.0,2019-12-31,15.0,100.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,06,Alpes-Maritimes,352.0,2021-12-31,233.0,2017-12-31,119.0,51.0,,,,440.0,57.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,06,Alpes-Maritimes,98.49,2022-12-31,0.0,2017-12-31,98.0,,,,,99.0,99.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,06,Alpes-Maritimes,1326766.0,2022-10-31,680759.0,2017-12-31,646007.0,95.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,06,Alpes-Maritimes,265.0,2021-12-31,294.0,2017-12-31,-29.0,-10.0,,,,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,06,Alpes-Maritimes,1874.0,2021-12-31,2300.0,2017-12-31,-426.0,-19.0,,,,,,,atteintes aux biens dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,06,Alpes-Maritimes,3188.0,2022-12-31,0.0,2020-05-31,3188.0,,785.0,306.0,2021-03-31,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,06,Alpes-Maritimes,167.0,2021-12-31,77.0,2017-12-31,90.0,117.0,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,06,Alpes-Maritimes,1.0,2022-12-31,63.0,2018-12-31,-62.0,-98.0,,,,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,06,Alpes-Maritimes,41.0,2022-09-30,55.0,2017-12-31,-14.0,-25.0,58.0,-29.0,2019-12-31,,,,morts dans l'année
Lutter contre la récidive par une meilleure insertion professionnelle des personnes placées sous main de justice,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,06,Alpes-Maritimes,5.0,2022-09-30,8.0,2021-06-30,-3.0,-38.0,,,,,,,% de détenus
Lutter contre la récidive par une meilleure insertion professionnelle des personnes placées sous main de justice,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,06,Alpes-Maritimes,342.0,2022-12-31,241.0,2021-03-31,101.0,42.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,06,Alpes-Maritimes,1541.0,2022-10-31,0.0,2020-09-30,1541.0,,52.0,2863.0,2021-03-31,4836.0,32.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,06,Alpes-Maritimes,40.08,2022-06-30,0.0,2018-12-31,40.0,,13.94,188.0,2020-09-30,40.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,06,Alpes-Maritimes,55.78,2022-06-30,0.0,2019-03-31,56.0,,51.39,9.0,2020-09-30,45.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,06,Alpes-Maritimes,22.94,2022-06-30,0.0,2019-12-31,23.0,,20.96,9.0,2020-09-30,20.0,100.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,06,Alpes-Maritimes,17.0,2022-12-31,3.0,2017-06-30,14.0,467.0,12.0,42.0,2020-06-30,17.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,06,Alpes-Maritimes,3.0,2021-12-31,2.0,2017-12-31,1.0,50.0,,,,4.0,50.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,06,Alpes-Maritimes,4875.0,2021-12-31,4200.0,2018-12-31,675.0,16.0,3039.0,60.0,2020-09-30,4879.0,99.0,2022-12-31,pères / conjoints dans l'année
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,06,Alpes-Maritimes,3.5,2022-09-30,3.4,2017-12-31,0.0,3.0,4.3,-19.0,2020-09-30,3.0,0.0,2022-12-31,mois de traitement
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,06,Alpes-Maritimes,4590.0,2022-10-31,0.0,2019-12-31,4590.0,,933.0,392.0,2021-03-31,5263.0,87.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,06,Alpes-Maritimes,596.0,2022-11-30,286.0,2017-12-31,310.0,108.0,480.0,24.0,2019-12-31,550.0,100.0,2022-12-31,personnes dans l'année*
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats (national et local),tx-transparence-resultats,06,Alpes-Maritimes,75.0,2022-12-31,8.0,2017-12-31,67.0,838.0,,,,100.0,73.0,2022-12-31,% de réseaux
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,06,Alpes-Maritimes,82.0,2022-09-30,40.0,2017-12-31,42.0,105.0,67.0,22.0,2020-09-30,,,,% de déploiement
Déployer une offre France services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,06,Alpes-Maritimes,32.0,2022-12-31,10.0,2020-01-31,22.0,220.0,14.0,129.0,2020-09-30,32.0,100.0,2022-12-31,labellisations
Déployer le pass Culture,Nombre d’utilisateurs du pass Culture de 18 ans,nb-utilisateurs-pass-culture,06,Alpes-Maritimes,21870.0,2022-12-31,0.0,2019-01-31,21870.0,,4.0,546650.0,2020-10-31,23178.0,94.0,2022-12-31,utilisateurs
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,06,Alpes-Maritimes,198.0,2022-12-31,0.0,2020-09-30,198.0,,,,,950.0,21.0,2022-12-31,bénéficiaires
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,06,Alpes-Maritimes,26.0,2022-06-30,0.0,2020-09-30,26.0,,,,,,,,logements rénovés
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,06,Alpes-Maritimes,217.0,2022-09-30,0.0,2019-12-31,217.0,,122.0,78.0,2021-03-31,,,,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,06,Alpes-Maritimes,217.0,2022-09-30,0.0,2019-12-31,217.0,,122.0,78.0,2021-03-31,,,,logements rénovés
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,06,Alpes-Maritimes,1982.0,2022-12-31,0.0,2019-03-31,1982.0,,98.0,1922.0,2020-12-31,1387.0,100.0,2022-12-31,enfants
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d’attestations « savoir rouler à vélo » délivrées,nb-attestations-savoir-rouler-velo,06,Alpes-Maritimes,1112.0,2022-12-31,0.0,2019-03-31,1112.0,,487.0,128.0,2021-06-30,3143.0,35.0,2022-12-31,attestations
Simplifier l’accès à l’aide juridictionnelle,Nombre de demandes d'aide juridictionnelle formulées par voie dématérialisée,nb-aide-juridictionnelle-dematerialisee,06,Alpes-Maritimes,28.8,2022-11-30,0.0,2021-01-31,29.0,,,,,15.0,100.0,2022-12-31,% des demandes *
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,06,Alpes-Maritimes,87.0,2022-12-31,58.0,2019-03-31,29.0,50.0,,,,90.0,91.0,2022-12-31,%
